Speaker,Time,Date,Duration,Operator,Notes,Commander,Notes,Command and Control,Notes,Critical Functions,Notes,Consequence,Notes,AWS as a Whola,Notes,Study or pre-R&D,Notes,R&D,Notes,Aquisition,Notes,Deployment,Notes,Use,Notes,Post-Use,Notes,Life Cycle,Notes,Parameters of use,Notes,Environment,Notes,Human-Machine Interaction,Notes
FINLAND,12:13:31,0:00:00,0:02:30,[99] Something else,"[autonomy] Characterizing an autonomous system, we recognize the degree of autonomy being a spectrum and as mentioned, various weapons and projectiles [...] have a certain binary moment, call it the point of no return following the launch or activation of the mission execution after which the human operator cannot affect the very likely lethal end result of the launch weaponized engagement.",,,,,[99] Something else,"ENG: Characterizing an autonomous system, we recognize the degree of autonomy being a spectrum and as mentioned, various weapons and projectiles do not have, excuse me, do have a certain binary moment, call it the point of no return following the launch or activation of the mission execution after which the human operator cannot affect the very likely lethal end result of the launch weaponized engagement.",,,,,,,,,,,,,[99] Something else,"u/ACT: [characterization] Characterizing an autonomous system, we recognize the degree of autonomy being a spectrum and as mentioned, various weapons and projectiles [...] have a certain binary moment, call it the point of no return following the launch or activation of the mission execution after which the human operator cannot affect the very likely lethal end result of the launch weaponized engagement",,,,,,,,,,
CANADA,10:40:11,0:00:00,0:03:21,[99] Something else,"[characterization] without intervention by a human operator, thus making it clear that an autonomous weapon system has no human intervention between activation and the use of force. Perhaps we could suggest the use of the term "" user "" or "" users "" as opposed to "" operator """,,,,,[99] Something else,"TGT/ENG: [characterization] Without further human intervention by an operator suggests that the intervention would otherwise happen after the use of force. Perhaps we could suggest to characterize it as and then engage a target without intervention by a human operator, thus making it clear that an autonomous weapon system has no human intervention between activation and the use of force",[99] Something else,ATK: [targeting] Israel is not using an AI system that autonomously chooses targets for attack without human involvement,,,[03] Direct use,"intent is to regulate autonomous weapon systems, we suggest to characterize autonomous weapon systems as systems that do not meet certain specific requirements of human involvement to eradicate inherent weaknesses of autonomous systems. Of course, these weaknesses could be overcome by advances in technology but the safeguard would be to specify where at a minimum human involvement is considered essential to deliver lawful effect.",,,,,,,[99] Something else,Use/ACT: [characterization],,,,,,,,,,
BULGARIA,12:38:33,0:00:00,0:01:54,[99] Something else,"[characterization] characterization, we are also willing to give further consideration to the ICRC proposal for inclusion of human user as more broader that includes not only operators but also other persons within the chain of command",,,,,,,,,,,,,,,,,,,[99] Something else,Use; [user],,,,,,,,,,
AUSTRALIA,15:31:15,0:00:00,0:02:43,[99] Something else,[characterization] we know some Delegations had preferences as to whether we refer to human intervention or intervention by a human operator or user.,,,,,,,,,,,,,,,,,,,[99] Something else,"Use: [user] by talking about human intervention generally, we would be excluding a greater number of systems from the scope of our discussions. [...], we are open to using the terms user or operator.",,,,,,,,,,
RUSSIAN FEDERATION,16:20:55,0:00:00,0:13:53,[99] Something else,[characterization] there is still a problem as regards intervention or involvement by the human operator or human intervention or human involvement.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUBA,17:00:04,0:00:00,0:04:29,[99] Something else,"[characterization] We understand that the last part of this first paragraph without further intervention by human operator is an attempt made by you to bring together or reconcile the different positions that were expressed. Nevertheless, we agree with other Delegations as was proposed by Ireland that it is better to reflect without further human intervention and in this way we do not restrict ourselves to one single operator and make this definition broader",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORWAY,17:52:41,0:00:00,0:05:16,[99] Something else,[characterization] we would be we would also prefer to see the last part say without further human intervention instead of intervention by a human operator because sometimes it can be difficult to speak of a single operator what is going on and I think having human intervention just specifies that more clearly without specifying what function that human must have.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUATEMALA,10:30:52,0:00:00,0:01:43,[99] Something else,"[characterization]   we support what was said at the point in this room, calling for the express inclusion of the definition of human intervention given that the definition of intervention by an operator is ambiguous that could be open to varying interpretations",,,,,[99] Something else,"CF/TGT/ENG: [characterization] systems that select and apply force against targets without human control. We believe that the definitions of these systems must be based on lethal autonomous weapon systems that include autonomy within their critical functions to select or to identify, to engage with and apply force without human intervention.",,,,,,,,,,,,,,,,,,,,,,,,
BRAZIL,10:38:42,0:00:00,0:03:08,[99] Something else,[characterization]  I believe that human intervention or the alternative formulation intervention by an operator would be the best and this relates to the comments made yesterday by the Distinguished Delegation from India and today by the Distinguished Delegation of France.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PANAMA,17:15:42,0:00:00,0:02:58,[99] Something else,[characterization] instead of referring to a human operator we think it would be better to say a human intervention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GERMANY,12:03:40,0:00:00,0:01:17,[99] Something else,"[characterization] fully autonomous weapons systems or lethal weapons systems would perform complex actions, learn and decisively formulate new rules if necessary without human validation. They would operate completely outside human control. By contrast, partially autonomous systems are not autonomous in the proper sense since their framework of action is determined by the human programmer. The margin of scope of action is confined to the selection amongst different options of action preprogrammed or at least in case of learning systems set by the human operator.",,,,,,,,,,,,,,,[99] Something else,"VAL: [characterization] fully autonomous weapons systems or lethal weapons systems would perform complex actions, learn and decisively formulate new rules if necessary without human validation",,,,,,,,,,,,,,
AUSTRIA,11:17:59,0:00:00,0:06:43,[99] Something else,"[does not talk about control] have a strong preference for the human intervention. Here we concur completely with Pakistan when it comes to the operator question that if we focus too much in the definition part on the operator, we exclude a little bit the state side and the big questions that we still have to discuss with regard to accountability and responsibility and the word any is simply also too absolute for us. It creates many problems in this direction and we prefer, as I mentioned before, the human intervention but have problems particularly with those two words, with the words any and with referring only to an operator",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUXEMBOURG,12:37:39,0:00:00,0:01:12,[99] Something else,"[autonomy definition] that technological autonomy specifically revolves around how a system interacts with its human operator. Autonomy describes the dependence and the relationship between two entities. Therefore, autonomy is essentially concept of the interaction between humans and machines. Consequently, we think defining a system as autonomous solely based on its technical aspects is difficult.",,,,,[04] Support,"CF: The degree and spectrum of autonomy in critical functions should therefore always be linked to the concept of human intervention which leads us to our main objective, implementing human intervention in order to ensure IHL compliance",,,,,,,,,,,,,,,,,,,,,,,,
NORWAY,17:57:48,0:00:00,0:01:49,[99] Something else,"[characterization] we think selection and engagement probably would be very central, including probably also the application of force with the last very central element to be what is in the last bullet, however one would like to phrase it, human intervention or human involvement intervention by an operator",,,,,[99] Something else,"ENG: [characterization][risks] To our minds, we think selection and engagement probably would be very central, including probably also the application of force with the last very central element to be what is in the last bullet, however one would like to phrase it, human intervention or human involvement intervention by an operator [...] unintended engagements",,,,,,,,,,,,,,,,,,,,,,,,
UNITED KINGDOM,12:23:24,0:00:00,0:08:04,[04] Support,"The UK would expect the human operator to be able to limit and vary the behavior of the laws depending on the context of use. This might include geographic and temporal constraints, permissible behaviors and levels of autonomy.",[04] Support,The life cycle is important to ensure that the commander can affect the necessary controls and constraints whether they be to the environment of use or the operation of the system itself. ,,,[04] Support,"TGT/ENG: We note and agree with the ICRC's comments in this regard to clarify and broaden the application of the term operators. In relation to limitations on space and time of targets, duration of operation, geographic scope and scale of use, geographic and temporal constraints are indeed sensible. Limitation on target types are obvious but the risk of misidentification of entity or target type in terms of complex targets would need to be taken into account. The UK would expect the human operator to be able to limit and vary the behavior of the laws depending on the context of use. This might include geographic and temporal constraints, permissible behaviors and levels of autonomy.",,,,,,,[04] Support,DEV: The life cycle is important to ensure that the commander can affect the necessary controls and constraints [...] It cuts across technology development [...],[04] Support,TES: The life cycle is important to ensure that the commander can affect the necessary controls and constraints whether they be to the environment of use or the operation of the system itself. This is not just technological in nature. It cuts across technology development and testing,[04] Support,"d/TRA/STDOP: The life cycle is important to ensure that the commander can affect the necessary controls and constraints [...]. It cuts across technology development and [...], development of operating procedures, training of personnel involved",[04] Support,Use/a: IHL depend on the use of laws in a specific context [...] international humanitarian law is principle based and it looks at how a weapon is used and its effect and it applies to all weapon systems autonomous or not. [...] context appropriate human involvement engages human involvement in a manner and at a point that is necessary to ensure the use of the autonomous weapon system complies with IHL. The life cycle is important to ensure that the commander can affect the necessary controls and constraints [...] of [...] the operation of the system itself. [...] suggest [...] context appropriate human involvement across the life cycle of the AWS is necessary to ensure that the use of AWS is in compliance with IHL.,,,[04] Support,"The life cycle is important to ensure that the commander can affect the necessary controls and constraints whether they be to the environment of use or the operation of the system itself. This is not just technological in nature. It cuts across technology development and testing, training and operationalization of systems, development of operating procedures, training of personnel involved in the use of laws, decisions made regarding where and when to use your laws and mechanisms for reporting and feeding back concerns regarding the use of those systems. Therefore, the UK would suggest bullet 3 and 4 could read context appropriate human involvement across the life cycle of the AWS is necessary to ensure that the use of AWS is in compliance with IHL.",,,[04] Support,The life cycle is important to ensure that the commander can affect the necessary controls and constraints whether they be to the environment of use or the operation of the system itself. ,[04] Support,"the nature of human machine interaction is a critical issue in relation to how the autonomous weapon system will be used in a lawful manner, rather a factor of lawfulness in itself. All of this speaks to context"
MEXICO,17:26:42,0:00:00,0:07:03,[04] Support,"prohibit [...]  the development and use of autonomous weapons systems whose programming allows for the removal of human control over the critical functions related to the selection of targets, the involvement and use of force, the development and use of autonomous weapons systems whose effects do not meet the criteria of predictability and whether it is explainable for the operators.",,,,,[04] Support,"CF/TGT: specific and indispensable elements in order to be able to meet these general obligations. [...] Two, that the development and use of autonomous weapons systems whose programming allows for the removal of human control over the critical functions related to the selection of targets, the involvement and use of force, the development and use of autonomous weapons systems whose effects do not meet the criteria of predictability and whether it is explainable for the operators.",,,,,,,[04] Support,"DEV: prohibit the use and development of autonomous systems that cannot be controlled by humans for which they are limited to cognitive and epistemological limitations in addition to being subjected to different types of bias, for example, those arising from the source of information being employed or algorithmic bias. Two, that the development and use of autonomous weapons systems whose programming allows for the removal of human control over the critical functions related to the selection of targets, the involvement and use of force, the development and use of autonomous weapons systems whose effects do not meet the criteria of predictability and whether it is explainable for the operators. Or four, the development and use of autonomous weapons systems that were not subjected to a legal assessment",,,,,[04] Support,"Use/ACT: prohibit the use and development of autonomous systems that cannot be controlled by humans for which they are limited to cognitive and epistemological limitations in addition to being subjected to different types of bias, for example, those arising from the source of information being employed or algorithmic bias. Two, that the development and use of autonomous weapons systems whose programming allows for the removal of human control over the critical functions related to the selection of targets, the involvement and use of force, the development and use of autonomous weapons systems whose effects do not meet the criteria of predictability and whether it is explainable for the operators. Or four, the development and use of autonomous weapons systems that were not subjected to a legal assessment in keeping with the obligations under Article 36 of the additional protocol 1 in customary law. Now, the simple involvement of a human in the selection operation and the involvement in the use of force does not resolve in and of itself the compatibility risks with IHL given that it seems to not involve some fundamental components of the human component. There must be a guarantee that there are proper understanding of the limitations of their use, [...] particularly in order to interrupt and deactivate the system during the operational stage.",[04] Support,"AS/EF: I will start again, to prohibit the use and development of [...] autonomous weapons systems whose effects do not meet the criteria of predictability and whether it is explainable for the operators. ",,,[04] Support,"It must take the necessary precautions in carrying out operations in order to ensure that parameters of the mission do not change without human assessment and that it allows for constant oversight to guarantee intervention when needed, particularly in order to interrupt and deactivate the system during the operational stage.",[04] Support,"There must be a guarantee that there are proper understanding of the limitations of their use, [...] and a decision that is taken must take place when they know the operational context through a sufficient knowledge of the situational environment. ",,
LUXEMBOURG,11:47:20,0:00:00,0:03:56,[04] Support,"After the development phase, it is necessary to put into place relevant legal reviews to ensure the reliability and predictability of such systems. Once activated, the systems must act in a predictable manner in line with IHL reflecting the intentions of the commander and operator that requires the sufficient understanding of how the system functions. In this context, we are in favor of a future oriented approach because responsibility falls on the shoulders of operators. This means that operators have to be able to anticipate the different ways the system can function in order to avoid any operations that do not comply with IHL. ",[03] Direct use,"Once activated, the systems must act in a predictable manner in line with IHL reflecting the intentions of the commander and operator that requires the sufficient understanding of how the system functions.",,,[04] Support,"TGT: human control is not limited to monitoring systems and decision making. After the development phase, it is necessary to put into place relevant legal reviews to ensure the reliability and predictability of such systems. [...] This reflects the fact that the legality of the use of autonomous system is directly linked to the circumstances of deployment and [...] [lethal] autonomous systems identify the mission and type of targets and also establish geographical and temporal limits on their operation establishing a specific framework operators can prevent the very complex situations that may lead to violations of IHL.",[98] Unclear,CONS: [not operationalizing human control over the consequences] objective is not to prevent the functioning of such weapon systems but ensure that we establish an approach that is based on human beings to avoid any unintended consequences of their operations,,,,,[99] Something else,DEV: After the development phase,[04] Support,"LEGREV/TES: human control is not limited to monitoring systems and decision making. After the development phase, it is necessary to put into place relevant legal reviews to ensure the reliability and predictability of such systems. [...] Also human judgment related to respect of the rules of IHL, for example, distinction and proportionality is crucial in the context of the ethical decisions related to the use of force. The implications of the use of systems that have been sufficiently tested can guarantee that these systems will be operating with full respect of IHL and operators should be familiar with all environmental factors and technical modalities of these systems to the extent possible in order to ensure that the use of such systems does not violate the principles of proportionality.",[04] Support,DEPLOY: legality of the use of autonomous system is directly linked to the circumstances of deployment ,[04] Support,"Use/ACT: we must have an inclusive definition and clear regulations that will make it possible to have a framework for the use of such weapon systems with the necessary precautions related to meaningful human control and decision making process and relevant legal reviews. [...]. After the development phase, it is necessary to put into place relevant legal reviews to ensure the reliability and predictability of such systems. Once activated, the systems must act in a predictable manner in line with IHL reflecting the intentions of the commander and operator that requires the sufficient understanding of how the system functions. In this context, we are in favor of a future oriented approach because responsibility falls on the shoulders of operators. This means that operators have to be able to anticipate the different ways the system can function in order to avoid any operations that do not comply with IHL. They also have to understand the actions that were taken by the system. This reflects the fact that the legality of the use of autonomous system is directly linked to the circumstances of deployment and something that was already mentioned by France, Switzerland and other Delegations during the deployment phase. Legal autonomous systems identify the mission and type of targets and also establish geographical and temporal limits on their operation establishing a specific framework operators can prevent the very complex situations that may lead to violations of IHL. Also human judgment related to respect of the rules of IHL, for example, distinction and proportionality is crucial in the context of the ethical decisions related to the use of force. The implications of the use of systems that have been sufficiently tested can guarantee that these systems will be operating with full respect of IHL and operators should be familiar with all environmental factors and technical modalities of these systems to the extent possible in order to ensure that the use of such systems does not violate the principles of proportionality. Finally we attach great importance to human approval of any substantive modifications of the parameters of the mission in this respect the system cannot take a decision in autonomous manner related to the parameters and objectives of the missions neither the geographical or temporal framework of the mission in order to ensure conformity with IHL the capacity to deactivate the system when and if it is necessary should also be foreseen.",,,,,[04] Support,Finally we attach great importance to human approval of any substantive modifications of the parameters of the mission in this respect the system cannot take a decision in autonomous manner related to the parameters and objectives of the missions neither the geographical or temporal framework of the mission in order to ensure conformity with IHL the capacity to deactivate the system when and if it is necessary should also be foreseen.,[04] Support,e implications of the use of systems that have been sufficiently tested can guarantee that these systems will be operating with full respect of IHL and operators should be familiar with all environmental factors and technical modalities of these systems to the extent possible in order to ensure that the use of such systems does not violate the principles of proportionality. ,,
FRANCE,16:08:47,0:00:00,0:03:41,[04] Support,"The appropriate level of human control must be assessed on a case-by-case basis and pursuant to the system being considered in order to ensure effective human control, it will be essential to have proper training and operational skill training to have proper understanding of the operators and the command of the system's capacity, its effects and how it interacts with the environments.",,,,,,,[04] Support,ATK: ensure that the use of these weapons systems and the human control respect the principles of the distinction of proportionality and precaution considering the particular circumstances that of each attack. And that means maintaining sufficient human control. ,,,,,,,[04] Support,VAL: Human control must also continue to define and validate the missions that are entrusted to this type of weapon system by defining the spatial framework of use,[04] Support,"TRA: ensure effective human control, it will be essential to have proper training and operational skill training to have proper understanding of the operators and the command of the system's capacity, its effects and how it interacts with the environments",[04] Support,"Use: [...] the use of lethal weapons systems that include autonomy must be under human control and accountability [...] we must have appropriate human control guarantees that could take various forms and be applied at all stages of the life cycle of a weapon in order to ensure that the use of future weapons systems [...] remain [...] under responsible human control. In order to ensure that IHL is fully respected, we must ensure that the use of these weapons systems and the human control respect the principles of the distinction of proportionality and precaution considering the particular circumstances that of each attack. And that means maintaining sufficient human control. That means [...] defining the spatial framework of use, the temporal framework of use and the appropriate regulations. ",[04] Support,"EF: The appropriate level of human control [...], it will be essential to have proper training and operational skill training to have proper understanding of the operators and the command of [...] its effects and how it interacts with the environments.",[04] Support,appropriate human control guarantees that could take various forms and be applied at all stages of the life cycle of a weapon,,,[04] Support,"The appropriate level of human control must be assessed on a case-by-case basis and pursuant to the system being considered in order to ensure effective human control, it will be essential to have proper [...] understanding of the operators and the command of [...] how it interacts with the environments.",,
SWITZERLAND,11:50:43,0:00:00,0:05:56,[04] Support,we should consider in the first tier weapon systems that can define or modify their mission and rules of engagement without human validation and that cannot execute their functions with a sufficiently high degree of reliability or predictability according to the intentions of a human commander or the human operator or that could operate outside the defined parameters.,[03] Direct use,we should consider in the first tier weapon systems that can define or modify their mission and rules of engagement without human validation and that cannot execute their functions with a sufficiently high degree of reliability or predictability according to the intentions of a human commander or the human operator or that could operate outside the defined parameters.,,,[99] Something else,ENG/t: [rules of engagement] we should consider in the first tier weapon systems that can define or modify their mission and rules of engagement without human validation and that cannot execute their functions with a sufficiently high degree of reliability or predictability according to the intentions of a human commander or the human operator or that could operate outside the defined parameters.,[99] Something else,"ATK: support here in the first year also additional specific considerations with regard to autonomous weapons systems on predictability, reliability and the ability to change its mission parameters in relation to a specific attack independently and without human validation",,,,,,,[03] Direct use,"VAL: we support here in the first year [tier] also additional specific considerations with regard to autonomous weapons systems on predictability, reliability and the ability to change its mission parameters in relation to a specific attack independently and without human validation. In particular, we should consider in the first tier weapon systems that can define or modify their mission and rules of engagement without human validation",[04] Support,RULESOE/tgprof: consider in the first tier weapon systems that can define or modify their mission and rules of engagement without human validation,,,,,,,[04] Support,"specific considerations with regard to autonomous weapons systems on [...] the ability to change its mission parameters in relation to a specific attack independently and without human validation. In particular, we should consider in the first tier weapon systems that can define or modify their mission and rules of engagement without human validation and that cannot execute their functions with a sufficiently high degree of reliability or predictability according to the intentions of a human commander or the human operator or that could operate outside the defined parameters.",,,,
BELGIUM,11:37:54,0:00:00,0:05:17,[04] Support,"maintaining meaningful human control but also in terms of responsibility and accountability throughout the life cycle. These requirements may include but are not limited to limits on the type of target that the system can engage, limits on the duration, the geographical scope of the use of the weapon system, clear procedures to guarantee that the commander and the human operators are properly trained and informed about the system and that their behavior and their effects and requirements with regard to the interaction between humans and the machine and the intervention and deactivation at an appropriate time if necessary as well as test procedures, certification and rigorous validation procedures, requirements with regard to safe registration systems as well as limits on the capacity of the weapon system to in live times implement aspects in its critical functions.",[03] Direct use,"These requirements may include but are not limited to limits on the type of target that the system can engage, limits on the duration, the geographical scope of the use of the weapon system, clear procedures to guarantee that the commander and the human operators are properly trained and informed about the system and that their behavior and their effects and requirements with regard to the interaction between humans and the machine and the intervention and deactivation at an appropriate time if necessary as well as test procedures, certification and rigorous validation procedures, requirements with regard to safe registration systems as well as limits on the capacity of the weapon system to in live times implement aspects in its critical functions.",,,[04] Support,"CF/TGT/ENG: maintaining meaningful human control but also in terms of responsibility and accountability throughout the life cycle. These requirements may include but are not limited to limits on the type of target that the system can engage, [...] requirements with regard to the interaction between humans and the machine and the intervention and deactivation at an appropriate time if necessary as well as test procedures, [...] as well as limits on the capacity of the weapon system to in live times implement aspects in its critical functions.",,,,,[04] Support,"requirements may include but are not limited to limits on the type of target that the system can engage, limits on the duration, the geographical scope of the use of the weapon system, clear procedures to guarantee that the commander and the human operators are properly trained and informed about the system and that their behavior and their effects and requirements with regard to the interaction between humans and the machine and the intervention and deactivation at an appropriate time if necessary as well as test procedures, certification and rigorous validation procedures, requirements with regard to safe registration systems as well as limits on the capacity of the weapon system to in live times implement aspects in its critical functions",,,[04] Support,"VAL/TES/a/lr/e: interaction between humans and the machine and the intervention and deactivation at an appropriate time if necessary as well as test procedures, certification and rigorous validation procedures",[04] Support,"DEPLOY/TRA/roe: fundamental principles of distinction, proportionality and precaution means evolving clear standards and guidelines in terms of design and human behavior with regard to the deployment and use of these systems whilst highlighting maintaining meaningful human control but also in terms of responsibility and accountability throughout the life cycle. [...] clear procedures to guarantee that the commander and the human operators are properly trained and informed about the system and that their behavior",[04] Support,Use/ACT: evolving clear standards and guidelines in terms of design and human behavior with regard to the deployment and use of these systems whilst highlighting maintaining meaningful human control but also in terms of responsibility and accountability throughout the life cycle. [...] requirements with regard to the interaction between humans and the machine and the intervention and deactivation,[04] Support,a/EF: These requirements may include [...] clear procedures to guarantee that the commander and the human operators are properly trained and informed about the system and that their behavior and their effects ,[04] Support,highlighting maintaining meaningful human control but also in terms of responsibility and accountability throughout the life cycle,,,,,,
