Speaker,Time,Date,Duration,Trimmed Statement,Operator,Notes,Commander,Notes,"CONS/a: lethal autonomous weapon systems can demonstrate greater levels of effectiveness than a human operator in solving the objectives that were set and reduce any errors. In particular, such systems are capable to seriously reduce the negative consequences of the use of weapons in the context of IHL related to operator errors, the psychological and physical condition of the human being, moral, religious and ethical considerations",Notes,critical functions (target + engag*),Notes,consequence (attack),Notes,CTRL over laws,Notes,study or pre-research and development (require*),Notes,research and development (develop*),Notes,"Aquisition (testing and evaluation, validation and verification, and final legal review)",Notes,"Deployment phase (deploy/plan/standard operating procedure/ rules of engagement/target profile/"" train"")",Notes,"Use (activa, "" use"")",Notes,Post-Use,Notes,Life Cycle,Notes,parameters of use,Notes,environment,Notes,human-machine interaction,Notes
ISRAEL,11:29:13,0:00:00,0:04:33,"We suggest rephrasing the sentence in the following manner, "" ensure that there is appropriate control and human judgment across the life cycle of laws. "" We emphasize that it is important to retain the word "" appropriate "" as there may be a wide variety of scenarios that this paragraph would refer to.",,,,,,,,,,,,,,,,,,,,,,,,,[02] Willing to negotiate,"We suggest rephrasing the sentence in the following manner, "" ensure that there is appropriate control and human judgment across the life cycle of laws. "" We emphasize that it is important to retain the word "" appropriate [they are willing to negotiate text on this if done with specific wording]",,,,,,
RUSSIAN FEDERATION,11:18:28,0:00:00,0:12:08,"On bullet number bullet point number 6, once again we would like to point out that for us the notion of meaningful human control is something that is problematic. This notion does not have any legal force behind it and it creates significant problems in terms of regulating the relevant types of weapon systems. We are in favor of ensuring human control in general without any exceptions in terms of whether it is meaningful or not meaningful and without separating or highlighting any critical functions of weapon systems over which such control should be exercised and putting aside any other functions where such human control may not exist. In this question we refer ourselves to the guiding principles that were agreed to by all states' parties that clearly state that human control should be exercised during all stages of the life cycle.",,,,,,,[00] Oppose,CF: We are in favor of ensuring human control in general without any exceptions in terms of whether it is meaningful or not meaningful and without separating or highlighting any critical functions of weapon systems over which such control should be exercised and putting aside any other functions where such human control may not exist,,,,,,,,,,,,,,,,,[04] Support,human control should be exercised during all stages of the life cycle.,,,,,,
UNITED KINGDOM,17:07:50,0:00:00,0:05:44,"Turning to the second paragraph, we find this paragraph problematic. Like other Delegations, the UK recognizes the importance of addressing the issue of nominal control and the need to ensure that a system is not excluded by virtue of such nominal involvement. The UK also welcomes the inclusion and recognition of the UK's concept of context appropriate human involvement and notions of judgment. The UK expects that we will come back to these questions including what context appropriate means when we speak about potential measures to address the issues raised by autonomous weapon systems. That said, the current framing of this paragraph undermines the way in which many states, the UK included, understand the concept of context appropriate human involvement. It is certainly not the case that weapon systems that only require nominal human input after activation cannot operate with context appropriate human involvement and judgment. Depending on the context of use and the nature of the autonomous functions of the weapon system, appropriate human involvement can be applied at other stages of the system's life cycle, not just when in use or post activation. Examples include development, test and acceptance of the system and via decisions made by commanders to deploy a particular system in a theater operation and use it in a particular situation. Priority use controls can also be applied for the bounding of autonomous behaviors and placing geographic and temporal limits. While it is true that autonomous weapon systems can include systems that can operate without intervention or with only nominal intervention post activation, the same weapon may be able to be used with various levels of autonomy. Therefore, any agreed characterization should not equate the ability to operate without intervention or with only nominal intervention as the sole operating model for these systems. Lastly, context appropriate human involvement and human judgment are required for the operation of all weapon systems in accordance with international law, including autonomous systems. Therefore, it would not be appropriate to apply this concept solely to the definition of autonomous weapon systems. The UK would therefore suggest that the concept of context appropriate human involvement and judgment is moved to later in the text under other measures.",,,[04] Support,"Depending on the context of use and the nature of the autonomous functions of the weapon system, appropriate human involvement can be applied at other stages of the system's life cycle, not just when in use or post activation. Examples include development, test and acceptance of the system and via decisions made by commanders to deploy a particular system in a theater operation and use it in a particular situation.",,,,,,,,,,,[04] Support,"DEV: appropriate human involvement can be applied at other stages of the system's life cycle, not just when in use or post activation. Examples include development, test and acceptance of the system and via decisions made by commanders to deploy a particular system in a theater operation and use it in a particular situation",[04] Support,"TES: appropriate human involvement can be applied at other stages of the system's life cycle, not just when in use or post activation. Examples include development, test",[04] Support,"DEPLOY: Depending on the context of use and the nature of the autonomous functions of the weapon system, appropriate human involvement can be applied at other stages of the system's life cycle, not just when in use or post activation. Examples include development, test and acceptance of the system and via decisions made by commanders to deploy a particular system in a theater operation and use it in a particular situation",[01] Caveat,"Use/ACT: not the case that weapon systems that only require nominal human input after activation cannot operate with context appropriate human involvement and judgment. Depending on the context of use and the nature of the autonomous functions of the weapon system, appropriate human involvement can be applied at other stages of the system's life cycle, not just when in use or post activation. Examples include development, test and acceptance of the system and via decisions made by commanders to deploy a particular system in a theater operation and use it in a particular situation. Priority use controls can also be applied for the bounding of autonomous behaviors and placing geographic and temporal limits. While it is true that autonomous weapon systems can include systems that can operate without intervention or with only nominal intervention post activation, the same weapon may be able to be used with various levels of autonomy. Therefore, any agreed characterization should not equate the ability to operate without intervention or with only nominal intervention as the sole operating model for these systems.",,,[04] Support,"appropriate human involvement can be applied at other stages of the system's life cycle, not just when in use or post activation",,,,,,
SWITZERLAND,10:43:19,0:00:00,0:03:06,"As we advocated in the past, measures, for instance, for a second tier and regulations of an instrument should be defined to mitigate that risk and facilitate accountability. In order to ensure human responsibility for decisions on the use of weapon systems, a certain degree of human control must be exerted or embedded at the appropriate stages of the life cycle of a weapon. Human control and we have heard and said that many times can be exercised in various ways throughout the life cycle, the different phases of the life cycle of a weapon and notably in the targeting cycle. [...] As a general assumption, the more significant human involvement in a specific use of an autonomous weapon system is, the easier it will be to assign individual responsibility.",,,,,,,[04] Support,"TGT: human control must be exerted or embedded at the appropriate stages of the life cycle of a weapon. Human control and we have heard and said that many times can be exercised in various ways throughout the life cycle, the different phases of the life cycle of a weapon and notably in the targeting cycle.",,,,,,,,,,,,,[03] Direct use,"Use: In order to ensure human responsibility for decisions on the use of weapon systems, a certain degree of human control must be exerted or embedded at the appropriate stages of the life cycle of a weapon. Human control and we have heard and said that many times can be exercised in various ways throughout the life cycle, the different phases of the life cycle of a weapon and notably in the targeting cycle. [...] As a general assumption, the more significant human involvement in a specific use of an autonomous weapon system is, the easier it will be to assign individual responsibility.",,,[98] Unclear,"a certain degree of human control must be exerted or embedded at the appropriate stages of the life cycle of a weapon. [...] can be exercised in various ways throughout the life cycle, the different phases of the life cycle of a weapon and notably in the targeting cycle.",,,,,,
JAPAN,11:19:20,0:00:00,0:03:30,"I have some concrete not concrete but general comments on those paragraphs you provided on prohibition and restrictions. [...] And with regard to paragraph 5, Japan believes that existence or absence of human involvement is not a concept that is explicitly stated in IHL However, because the absence of human involvement can lead to the inability to operate as intended by the user and in turn can lead to unforeseen harm to civilians. So we place importance on the operation within the human chain of command and on appropriate human judgment.",,,,,,,,,,,,,,,,,,,,,[99] Something else,"Use: [deployment] Japan believes that existence or absence of human involvement is not a concept that is explicitly stated in IHL However, because the absence of human involvement can lead to the inability to operate as intended by the user and in turn can lead to unforeseen harm to civilians. So we place importance on the operation within the human chain of command and on appropriate human judgment.",,,,,,,,,,
UNITED KINGDOM,17:29:30,0:00:00,0:03:25,"What we think the principles that this definition is starting to alight on is that we are looking at weapon systems which once activated perform some or all of the decision making functions within an engagement process such as detecting, identifying, selecting and engaging in order to apply force without the requirement for but not excluding the possibility for further human involvement. Noting that this description is not presumptive of regulatory outcome, we would suggest that a description that addresses these principles would provide the most meaningful basis of our discussion about measures that may apply in the context of weapons and include functions that allow degrees of autonomy.",,,,,,,[99] Something else,"ENG: principles that this definition is starting to alight on is that we are looking at weapon systems which once activated perform some or all of the decision making functions within an engagement process such as detecting, identifying, selecting and engaging in order to apply force without the requirement for but not excluding the possibility for further human involvement.",,,,,[98] Unclear,"[characterizations] systems which once activated perform some or all of the decision making functions within an engagement process such as detecting, identifying, selecting and engaging in order to apply force without the requirement for but not excluding the possibility for further human involvement",,,,,,,[99] Something else,u/ACT:  [characterization],,,,,,,,,,
BELGIUM,11:37:54,0:00:00,0:05:17,"For my Delegation guaranteeing the compliance with international law including IHL and its fundamental principles of distinction, proportionality and precaution means evolving clear standards and guidelines in terms of design and human behavior with regard to the deployment and use of these systems whilst highlighting maintaining meaningful human control but also in terms of responsibility and accountability throughout the life cycle. These requirements may include but are not limited to limits on the type of target that the system can engage, limits on the duration, the geographical scope of the use of the weapon system, clear procedures to guarantee that the commander and the human operators are properly trained and informed about the system and that their behavior and their effects and requirements with regard to the interaction between humans and the machine and the intervention and deactivation at an appropriate time if necessary as well as test procedures, certification and rigorous validation procedures, requirements with regard to safe registration systems as well as limits on the capacity of the weapon system to in live times implement aspects in its critical functions.",[04] Support,"maintaining meaningful human control but also in terms of responsibility and accountability throughout the life cycle. These requirements may include but are not limited to limits on the type of target that the system can engage, limits on the duration, the geographical scope of the use of the weapon system, clear procedures to guarantee that the commander and the human operators are properly trained and informed about the system and that their behavior and their effects and requirements with regard to the interaction between humans and the machine and the intervention and deactivation at an appropriate time if necessary as well as test procedures, certification and rigorous validation procedures, requirements with regard to safe registration systems as well as limits on the capacity of the weapon system to in live times implement aspects in its critical functions.",[03] Direct use,"These requirements may include but are not limited to limits on the type of target that the system can engage, limits on the duration, the geographical scope of the use of the weapon system, clear procedures to guarantee that the commander and the human operators are properly trained and informed about the system and that their behavior and their effects and requirements with regard to the interaction between humans and the machine and the intervention and deactivation at an appropriate time if necessary as well as test procedures, certification and rigorous validation procedures, requirements with regard to safe registration systems as well as limits on the capacity of the weapon system to in live times implement aspects in its critical functions.",,,[04] Support,"CF/TGT/ENG: maintaining meaningful human control but also in terms of responsibility and accountability throughout the life cycle. These requirements may include but are not limited to limits on the type of target that the system can engage, [...] requirements with regard to the interaction between humans and the machine and the intervention and deactivation at an appropriate time if necessary as well as test procedures, [...] as well as limits on the capacity of the weapon system to in live times implement aspects in its critical functions.",,,,,[04] Support,"requirements may include but are not limited to limits on the type of target that the system can engage, limits on the duration, the geographical scope of the use of the weapon system, clear procedures to guarantee that the commander and the human operators are properly trained and informed about the system and that their behavior and their effects and requirements with regard to the interaction between humans and the machine and the intervention and deactivation at an appropriate time if necessary as well as test procedures, certification and rigorous validation procedures, requirements with regard to safe registration systems as well as limits on the capacity of the weapon system to in live times implement aspects in its critical functions",,,[04] Support,"VAL/TES/a/lr/e: interaction between humans and the machine and the intervention and deactivation at an appropriate time if necessary as well as test procedures, certification and rigorous validation procedures",[04] Support,"DEPLOY/TRA/roe: fundamental principles of distinction, proportionality and precaution means evolving clear standards and guidelines in terms of design and human behavior with regard to the deployment and use of these systems whilst highlighting maintaining meaningful human control but also in terms of responsibility and accountability throughout the life cycle. [...] clear procedures to guarantee that the commander and the human operators are properly trained and informed about the system and that their behavior",[04] Support,Use/ACT: evolving clear standards and guidelines in terms of design and human behavior with regard to the deployment and use of these systems whilst highlighting maintaining meaningful human control but also in terms of responsibility and accountability throughout the life cycle. [...] requirements with regard to the interaction between humans and the machine and the intervention and deactivation,[04] Support,a/EF: These requirements may include [...] clear procedures to guarantee that the commander and the human operators are properly trained and informed about the system and that their behavior and their effects ,[04] Support,highlighting maintaining meaningful human control but also in terms of responsibility and accountability throughout the life cycle,,,,,,
PANAMA,11:33:27,0:00:00,0:03:35,"As to the first section, preliminary considerations, looking at the first paragraph, we support the comments made by Austria, Peru, Cuba, Switzerland in that we feel it would be appropriate to include a reference to human before control, human control. Otherwise it would appear that the concept would be very vague and it would imply the possibility of other technologies or other weapon systems and as we move forward, we are creating a dependence or alliance on technology and machines. So this is an unlikely scenario that there are autonomous weapon systems that are controlled within these and we want to be quite sure that in the instrument that it is declared that we refer at all times to the need to maintain human control throughout the life cycle of these systems. We also support the idea that after human control that we change the wording to refer to uses and effects, human control over the use and effects of weapons systems. This was mentioned by the Delegations that I mentioned. [...] Now, on the second paragraph, we would also support the proposal put forward by France and Cuba, that is to replace human judgment with human control so as to be consistent in the text.",,,,,,,,,,,,,,,,,,,,,[04] Support,"Use: We also support the idea that after human control that we change the wording to refer to uses and effects, human control over the use and effects of weapons systems. ",[04] Support,"EF: We also support the idea that after human control that we change the wording to refer to uses and effects, human control over the use and effects of weapons systems.",[04] Support,need to maintain human control throughout the life cycle of these systems,,,,,,
FINLAND,11:15:04,0:00:00,0:03:54,"Firstly, the formulation draws parallels between appropriate control and human judgment. Even though these are not equal requirements in this context. More importantly, we find both formulations to leave too much room for interpretation. Especially appropriate control in our view raises questions how would it be defined in practice. [...] Firstly, systems that do not allow virtual human intervention after activation and act therefore completely outside the human control and responsible chain of command are prohibited. [...] Regarding the restrictions part of the rolling text, there is a common understanding on the necessity of retaining the appropriate level of human judgment in the use of laws in order to ensure that they are operated according to the rules of IHL in all situations. We, however, find that the first paragraph on appropriate control and human judgment needs some clarification on this part of the rolling text as well. We understand that deleting the sentence completely could raise objections from other Delegations. So instead we propose reformulation This paragraph could be changed to a lead sentence for the list of the following restrictions since the following sentences seem to elaborate on the first one. [...] Revised lead sentence formulation would then read as : States must ensure that their military is operate laws with appropriate control and human judgment across the entire life cycle of the weapon system by complying with the following restrictions.",,,,,,,,,,,,,[01] Caveat,"formulation draws parallels between appropriate control and human judgment. Even though these are not equal requirements in this context. More importantly, we find both formulations to leave too much room for interpretation. Especially appropriate control in our view raises questions how would it be defined in practice",,,,,,,[04] Support,"Use/ACT: [...] Firstly, systems that do not allow virtual human intervention after activation and act therefore completely outside the human control and responsible chain of command are prohibited. [...] Regarding the restrictions part of the rolling text, there is a common understanding on the necessity of retaining the appropriate level of human judgment in the use of laws in order to ensure that they are operated according to the rules of IHL",,,[04] Support,States must ensure that their military is operate laws with appropriate control and human judgment across the entire life cycle of the weapon system,,,,,,
GERMANY,11:26:37,0:00:00,0:04:03,"In our view, this compilation of states' views contained in the report is extremely valuable, in particular in affirming the enormous importance of aspects related to the concept of human control with regard to the use of force. [...] We continue to be of the view that this approach offers the opportunity to consent a legally binding provision of lethal autonomous weapons systems that operate outside human control in the form of an additional protocol to the Convention on Certain Conventional Weapons on the one hand and to regulate weapon systems with autonomous functions on the other hand. In our view, this approach will enable us, ensure that human control can be maintained during the whole life cycle of the weapons under discussion.",,,,,,,,,,,,,,,,,,,,,[04] Support,Use/a: affirming the enormous importance of aspects related to the concept of human control with regard to the use of force,,,[04] Support,ensure that human control can be maintained during the whole life cycle,,,,,,
MEXICO,11:43:14,0:00:00,0:01:36,"For Mexico it is vital to maintain human control over weapon systems based on new technologies or emerging technologies to ensure respect and compliance with IHL. It is essential that there be meaningful human control throughout the life cycle of the weapon to avoid an arbitrary decision being taken over the life or death of human beings. The ethical dimension of IHL states that the means and methods of warfare are not limited and that the use of force must be guided by the principles of humanity and public conscience which by definition only correspond to people. Based on this we agree with the Delegations of Austria, France, Peru, Cuba, Switzerland and others as to the importance of adding control in the first paragraph to human control.",,,,,,,,,,,[04] Support,CTRLOVW: vital to maintain human control over weapon systems,,,,,,,,,[04] Support,Use: The ethical dimension of IHL states that the means and methods of warfare are not limited and that the use of force must be guided by the principles of humanity and public conscience which by definition only correspond to people,,,[04] Support,human control throughout the life cycle of the weapon to avoid an arbitrary decision being taken over the life or death of human beings,,,,,,
RUSSIAN FEDERATION,16:32:22,0:00:00,0:07:00,"Right now, as we see it, the notion of human control is taken as the main idea and, in fact, I would refer to meaningful human control and as well as also trying to come up with a definition through the critical functions of the system. Now, we do not fully share that approach. We believe that we should try to take a state-by-state approach as we try to agree on a definition of such systems. [...] Here we see that there are certain objectives that are listed and we see that this is done in a very narrow manner, but in any case, we are ready to discuss these objectives that could be pursued by such systems that would fall under the definition of emerging technologies in the area of laws and third important point or factor and it relates to human control. We believe that we will be discussing the question of human control in a detailed fashion under the second agenda item that you have submitted to the GGE and in a very preliminary way we would like to say that we find that trying to identify the specific functions where human control will apply is something that is counterproductive and not really advisable because of the different views that Delegations have on that subject and also this relates to the factor of the responsibilities that states have in complying with their international obligations including in the area of IHL where there is a clear definition of the responsibility of states' parties for ensuring relevant human control related to the use of different weapons systems and this obviously refers to the entire life cycle of such weapons systems and that understanding if I am not mistaken is something that we agreed to on the basis of consensus as one of the guidelines and also as one of the conclusions that this GGE made in the past.",,,,,,,[00] Oppose,CF: trying to identify the specific functions where human control will apply is something that is counterproductive and not really advisable because of the different views that Delegations have on that subject and also this relates to the factor of the responsibilities that states have in complying with their international obligations including in the area of IHL where there is a clear definition of the responsibility of states' parties,,,,,,,,,,,,,[04] Support,Use:  we find that for ensuring relevant human control related to the use of different weapons systems and this obviously refers to the entire life cycle of such weapons systems and that understanding if I am not mistaken is something that we agreed to on the basis of consensus as one of the guidelines and also as one of the conclusions that this GGE made in the past,,,[04] Support,IHL where there is a clear definition of the responsibility of states' parties for ensuring relevant human control related to the use of different weapons systems and this obviously refers to the entire life cycle of such weapons systems and that understanding if I am not mistaken is something that we agreed to on the basis of consensus as one of the guidelines and also as one of the conclusions that this GGE made in the past.,,,,,,
JAPAN,16:05:54,0:00:00,0:02:38,"I would like to make comments on the bullet points that you suggested in terms of incompatibility of IHL. [...] I think we need to have more careful considerations from this point of view and I recognize in particular for the first and the second point, that is regarding the human involvement. Those two points are very important topics in our discussions and I would like to make two points for future discussion on this issue. [...] And the second point is it is important that humans are involved responsibly throughout the weapons life cycle and especially that such weapon systems should be used under the responsibility of the human command and control. Indeed ; there is consensus among many countries on the importance of the elements of human responsibility.",,,,,[04] Support,important that humans are involved responsibly throughout the weapons life cycle and especially that such weapon systems should be used under the responsibility of the human command and control,,,,,,,,,,,,,,,[04] Support,Use: it is important that humans are involved responsibly throughout the weapons life cycle and especially that such weapon systems should be used under the responsibility of the human command and control,,,[04] Support,it is important that humans are involved responsibly throughout the weapons life cycle,,,,,,
FRANCE,11:15:40,0:00:00,0:01:40,"We would like to express support to the drafting of these two paragraphs which are essential and just would like to ask that in the terminology human judgment which is used that we replace judgment by control which was discussed much more in our group and that is, in fact, the more consensual wording on the issue of human control. I would like to recall two key principles that arise from the rules of IHL and which should be an overall guide to our work in this part of our discussion. Firstly, the use of little autonomous weapons systems must be under the responsibility of human control and that responsibility, as you have said, must be involved if there is a grave violation of IHL. So human command, that is the first thing and second thing, maintaining human appropriate control so that future weapons systems throughout their life cycle are in keeping with IHL and under responsible human control.",,,,,,,,,,,,,,,,,,,,,[04] Support,"Use: use of little autonomous weapons systems must be under the responsibility of human control and that responsibility, as you have said, must be involved if there is a grave violation of IHL. So human command, that is the first thing and second thing, maintaining human appropriate control so that future weapons systems throughout their life cycle are in keeping with IHL and under responsible human control.",,,[04] Support,human appropriate control so that future weapons systems throughout their life cycle,,,,,,
LUXEMBOURG,12:02:35,0:00:00,0:02:52,"It is vital that decisions can be taken in line with these principles for the use of laws. We believe this is highly important for military technology in the future, but throughout the whole life cycle of these systems there must be meaningful human control.",,,,,,,,,,,,,,,,,,,,,[99] Something else,"Use: international humanitarian law at its distinction, proportionality, and the precautionary principle. It is vital that decisions can be taken in line with these principles for the use of laws",,,[04] Support,throughout the whole life cycle of these systems there must be meaningful human control,,,,,,
COLOMBIA,12:20:08,0:00:00,0:03:33,One aspect from our opinion is that of meaningful human control throughout the entirety of the life cycle of autonomous weapons.,,,,,,,,,,,,,,,,,,,,,,,,,[04] Support,meaningful human control throughout the entirety of the life cycle,,,,,,
GERMANY,17:41:40,0:00:00,0:01:01,"In Germany's view, the subbullets 5 to 8 also contain valuable elements in order to ensure appropriate human control over the life cycle of laws and on which further elaboration of the text can build.",,,,,,,,,,,,,,,,,,,,,,,,,[04] Support,ensure appropriate human control over the life cycle,,,,,,
NEW ZEALAND,12:00:54,0:00:00,0:03:57,"For many Delegations, the driving concern is how existing IHL applies to new weapon systems with degrees of autonomy and possibly where new IHL should be developed. Including to ensure that there is sufficient human control or oversight throughout the life cycle of new weapon systems with increasing degrees of autonomy. Below the threshold of fully autonomous systems, there is a spectrum of weapon systems that have varying opportunities for human control over or involvement in targeting and engagement decisions. This is not the subjective view of New Zealand but a technological fact. As many in this room know, New Zealand has theoretical and practical questions about the absence of humans from critical decision making steps in the selection and engagement of targets. These questions are driven by legal, ethical, humanitarian and international stability concerns. Unpredictable systems may spark or worsen conflicts. Unexplainable systems are theoretically incapable of operating in compliance with IHL. It is the view of our Delegation that instead of focusing on defining and characterizing, a more constructive approach would be to investigate human control more closely. That is, the necessary elements of human control that must be present in the operation of a weapon system with varying degrees of autonomy in order to guarantee their legal, ethical and safe operation.",,,,,,,[04] Support,"TGT/ENG: Below the threshold of fully autonomous systems, there is a spectrum of weapon systems that have varying opportunities for human control over or involvement in targeting and engagement decisions. This is not the subjective view of New Zealand but a technological fact. As many in this room know, New Zealand has theoretical and practical questions about the absence of humans from critical decision making steps in the selection and engagement of targets. These questions are driven by legal, ethical, humanitarian and international stability concerns.",,,,,,,[99] Something else,DEV: [developing norms] new IHL should be developed,,,,,,,,,[04] Support,ensure that there is sufficient human control or oversight throughout the life cycle,,,,,,
UNITED STATES,11:08:49,0:00:00,0:08:49,"I am particularly interested in further exploring the Delegation of Pakistan's observations about the binary nature of autonomy. I think when we agreed in this body to characterize autonomy as falling within a spectrum, we were trying to capture a broader idea which is that the type of autonomous features and functions that could be incorporated into a weapon system fall within a fairly broad spectrum. I think that was just a reflection of the emerging nature of many technologies that you have more rudimentary technologies, you have more advanced technologies, you have the types of machine learning and other technologies that are now being very actively focused on, but that when you think about it, the types of autonomous features and functions that could be incorporated theoretically into a weapon system fall within a fairly wide range. But I do agree that there is a binary point and it is this binary point that I wanted to focus on. It is the point at which and I think this is part of the way the Delegation of Pakistan explained the challenge that we are facing. It is the point at which the weapon system ceases to operate with the involvement of the human operator that deployed and activated the system. And so I think we would agree that that point, that moment in time, that point in time is or it can be binary. I think there may be weapon systems that have an ability to continue to engage, but we are focused on those systems that have reached that point that they are no longer operating with the involvement of the operator. And so that is what we are really focusing on and why we had made some of the earlier suggestions that we made. The Russian definition, Chair, that you focused us on, that I now am looking at, I think one of the concerns that we have with this definition and maybe it is just a question for the Russian Federation to help us understand how they see this binary moment, if the Pakistani Delegation and the US Delegation are understanding it in the same way, where is that moment in their definition? It is a bit unclear to our Delegation and this really gets at the point that the Delegation of Australia just made about sort of where are we in the life cycle? So this is ambiguous on that question. It appears to posit that there is a weapon system that is out there. It is unclear how the weapon system got out there, who put the weapon system out there, how it was deployed, when it was activated. It is just out there. And that the definition would then capture that weapon system only if it operated without any involvement. So what we see is missing from the definition is where the person, the engagement of the operator, the engagement of the human being is taking place. I think the definition that you have been guiding us through is clear on that point. The idea is that it is the operator that has decided to use the weapon, has decided to use it in a particular context, has activated the system that is being used and that at that moment in time it is, as the Pakistani said, it is past that binary moment. It is now out there and it will perform a function, a lethal function without further intervention by that operator. So that is I think one of the key questions that we have with the Russian definition as you read it out.",[99] Something else,"[characterization] And that the definition would then capture that weapon system only if it operated without any involvement. So what we see is missing from the definition is where the person, the engagement of the operator, the engagement of the human being is taking place. I think the definition that you have been guiding us through is clear on that point",,,,,[99] Something else,"ENG/t: [binary moment] It is the point at which the weapon system ceases to operate with the involvement of the human operator that deployed and activated the system. And so I think we would agree that that point, that moment in time, that point in time is or it can be binary. I think there may be weapon systems that have an ability to continue to engage, but we are focused on those systems that have reached that point that they are no longer operating with the involvement of the operator. [...] And that the definition would then capture that weapon system only if it operated without any involvement. So what we see is missing from the definition is where the person, the engagement of the operator, the engagement of the human being is taking place. ",,,,,,,,,,,[99] Something else,"DEPLOY: [characterization] point at which the weapon system ceases to operate with the involvement of the human operator that deployed and activated the system. [...] It appears to posit that there is a weapon system that is out there. It is unclear how the weapon system got out there, who put the weapon system out there, how it was deployed",[99] Something else,"Use/ACT: [characterization] So what we see is missing from the definition is where the person, the engagement of the operator, the engagement of the human being is taking place. I think the definition that you have been guiding us through is clear on that point. The idea is that it is the operator that has decided to use the weapon, has decided to use it in a particular context, has activated the system that is being used ",,,[99] Something else,"he Russian definition, Chair, that you focused us on, that I now am looking at, I think one of the concerns that we have with this definition and maybe it is just a question for the Russian Federation to help us understand how they see this binary moment, if the Pakistani Delegation and the US Delegation are understanding it in the same way, where is that moment in their definition? It is a bit unclear to our Delegation and this really gets at the point that the Delegation of Australia just made about sort of where are we in the life cycle?",,,,,,
AUSTRALIA,11:04:58,0:00:00,0:03:24,"We understand that we are focused here on defining the broad category of laws that we are discussing in this forum. Trimming this definition down to its essential characteristics is helpful. [...] We think the phrase once activated is necessary to retain if the definition refers to further human intervention. Without the words once activated, it is unclear what the human intervention would be further to. The words once activated also add clarity about the part of the weapon system life cycle we are talking about. It helps demarcate what functions are performed autonomously after activation and without further human intervention. [...] On the various options listed to refer to human intervention or intervention by an operator, et cetera, we would be happy for this to be simplified to human intervention. However, echoing the point made by the US, we think referring to the operator may add clarity as to which human we are talking about.",[04] Support,"On the various options listed to refer to human intervention or intervention by an operator, et cetera, we would be happy for this to be simplified to human intervention. However, echoing the point made by the US, we think referring to the operator may add clarity as to which human we are talking about.",,,,,,,,,,,,,,,,,,,[99] Something else,"ACT: [characterization] We think the phrase once activated is necessary to retain if the definition refers to further human intervention. Without the words once activated, it is unclear what the human intervention would be further to. The words once activated also add clarity about the part of the weapon system life cycle we are talking about. It helps demarcate what functions are performed autonomously after activation and without further human intervention.",,,[99] Something else,"once activated also add clarity about the part of the weapon system life cycle we are talking about [talking about adding ""after ativation"" in the definition]",,,,,,
GERMANY,16:12:37,0:00:00,0:02:46,"To the extent that meaningful is equivalent of appropriate control, Germany can also support subparagraph 1 in that regard. Allow me to particularly highlight our support for bullet 7, option 1, effects cannot be limited, anticipated and controlled as layout in the working paper submitted by France, Germany, Bulgaria, Denmark, Italy, Luxembourg and Norway.",,,,,,,,,,,,,,,,,,,,,,,[04] Support,"EF: Allow me to particularly highlight our support [for the language] effects cannot be limited, anticipated and controlled",,,,,,,,
AUSTRALIA,10:35:53,0:00:00,0:07:13,"We echo the observation yesterday that some of the points outlined are not risks of themselves. Rather, they are causes, consequences, or effects of risks. For example, the lack of human judgment in the design or use of a system may lead to risks of noncompliance with IHL and we think it is important to bear in mind this distinction when classifying the different risks. With respect to the first bullet point, we note that the risk of unintended engagements and loss of control of a system is a specific risk that is already been identified in previous GGE reports.",,,,,,,[99] Something else,ENG: [unintended engagements],[99] Something else,CONS/a: [consequences of risks],,,,,,,,,,,[04] Support,"Use: [risk mitigation, example] the lack of human judgment in the design or use of a system may lead to risks of noncompliance with IHL",[99] Something else,a/EF: some of the points outlined are not risks of themselves. [but] effects of risks.,,,,,,,,
RUSSIAN FEDERATION,16:25:04,0:00:00,0:23:02,We have had a sufficiently focused approach to looking at human control and the autonomous nature of these weapons and we believe that we are quite close to having an understanding which would be mutually acceptable for all Delegations.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNITED KINGDOM,16:47:42,0:00:00,0:05:16,"Over the years, this group has heard various categories of risks in relation to autonomous weapon systems. [...] We note so far in this session that this group has already had some good discussion under your guidance which has both implicitly and explicitly raised risks such as absence of context appropriate human involvement, accountability, chains of command, limitations and predictability to name but a few. Therefore, the key matter here is how we mitigate those risks and introduce or articulate confidence building measures. We believe that those risk mitigations and confidence building measures would be key to the second tier of the two-tier approach with the nature or category of the risk absolutely material to the nature of the measure to address it.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
